2022-12-04 16:13:14.8576|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-12-04 16:13:14.8788|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-12-04 16:13:14.8788|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-12-04 16:13:14.8788|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-12-04 16:13:14.8788|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Steven\Atelier\Code\Mirtyn\ProjectBoostLadder.Website |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-12-04 16:13:29.6902|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|Post: Competitive |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.Post
2022-12-04 16:13:29.7123|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|PostV011: Competitive |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.PostV011
2022-12-04 16:13:29.7123|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|entry.Flag: Competitive |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.PostV011
2022-12-04 16:13:29.7738|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|Post: Competitive, RealLanding |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.Post
2022-12-04 16:13:29.7738|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|PostV011: Competitive, RealLanding |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.PostV011
2022-12-04 16:13:29.7738|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|entry.Flag: Competitive, RealLanding |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.PostV011
2022-12-04 16:13:29.7830|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|Post: Competitive, OneLife |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.Post
2022-12-04 16:13:29.7830|0|DEBUG|ProjectBoostLadder.Controllers.LadderController|PostV011: Competitive, OneLife |url: https://localhost/ladder/post|action: Post|ProjectBoostLadder.Controllers.LadderController.PostV011
